2016-11-14 16:02:10 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2016-11-14 16:02:10 [restartedMain] INFO  c.e.s.boot.SpringBootProApplication - Starting SpringBootProApplication on EricMacBook-Pro.local with PID 4143 (/Users/yangkang/Documents/working/gitworkspace/SpringBootPro/target/classes started by yangkang in /Users/yangkang/Documents/working/gitworkspace/SpringBootPro)
2016-11-14 16:02:10 [restartedMain] INFO  c.e.s.boot.SpringBootProApplication - The following profiles are active: development
2016-11-14 16:02:11 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3708fc44: startup date [Mon Nov 14 16:02:11 CST 2016]; root of context hierarchy
2016-11-14 16:02:13 [restartedMain] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.eric.spring.boot]' package. Please check your configuration.
2016-11-14 16:02:14 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f89cb933] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-14 16:02:14 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8085 (http)
2016-11-14 16:02:14 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
2016-11-14 16:02:14 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.0.32
2016-11-14 16:02:14 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2016-11-14 16:02:14 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3444 ms
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.ServletRegistrationBean - Mapping servlet: 'webServlet' to [/h2-console/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2016-11-14 16:02:15 [localhost-startStop-1] INFO  o.s.b.c.e.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2016-11-14 16:02:16 [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2016-11-14 16:02:16 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2016-11-14 16:02:16 [restartedMain] WARN  o.hibernate.ejb.HibernatePersistence - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2016-11-14 16:02:16 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2016-11-14 16:02:16 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.3.11.Final}
2016-11-14 16:02:16 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2016-11-14 16:02:16 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2016-11-14 16:02:16 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
